local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
MIDLAND,EL PALOMAR,700.0,300.0,0.25,1.0,1,1,175.0,75.0
C.A.S.A PADUA B,UNITARIOS DE MARCOS PAZ,300.0,700.0,0.25,1.0,1,1,75.0,175.0
LEANDRO N ALEM,LOS INDIOS DE MORENO BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
LEANDRO N ALEM,MIDLAND,350.0,650.0,0.25,1.0,1,1,87.5,162.5
C.A.S.A PADUA B,LOS INDIOS DE MORENO BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
EL PALOMAR,UNITARIOS DE MARCOS PAZ,700.0,300.0,0.25,1.0,1,1,175.0,75.0
MIDLAND,UNITARIOS DE MARCOS PAZ,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LOS INDIOS DE MORENO BLANCO,EL PALOMAR,250.0,750.0,0.25,1.0,1,1,62.5,187.5
LEANDRO N ALEM,C.A.S.A PADUA B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
C.A.S.A PADUA B,MIDLAND,350.0,650.0,0.25,1.0,1,1,87.5,162.5
EL PALOMAR,LEANDRO N ALEM,300.0,700.0,0.25,1.0,1,1,75.0,175.0
UNITARIOS DE MARCOS PAZ,LOS INDIOS DE MORENO BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
MIDLAND,LOS INDIOS DE MORENO BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
LEANDRO N ALEM,UNITARIOS DE MARCOS PAZ,300.0,700.0,0.25,1.0,1,1,75.0,175.0
C.A.S.A PADUA B,EL PALOMAR,750.0,250.0,0.25,1.0,1,1,187.5,62.5
EL PALOMAR,MIDLAND,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNITARIOS DE MARCOS PAZ,C.A.S.A PADUA B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LOS INDIOS DE MORENO BLANCO,LEANDRO N ALEM,650.0,350.0,0.25,1.0,1,1,162.5,87.5
DEFENSORES DE MORENO,MORON B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
HURACAN DE SAN JUSTO BLANCO,ALTUBE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
RAMOS MEJIA LTC B,ALTE. BROWN,750.0,250.0,0.25,1.0,1,1,187.5,62.5
RAMOS MEJIA LTC B,DEFENSORES DE MORENO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ALTE. BROWN,HURACAN DE SAN JUSTO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ALTUBE,MORON B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
DEFENSORES DE MORENO,ALTUBE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
MORON B,ALTE. BROWN,750.0,250.0,0.25,1.0,1,1,187.5,62.5
HURACAN DE SAN JUSTO BLANCO,RAMOS MEJIA LTC B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HURACAN DE SAN JUSTO BLANCO,DEFENSORES DE MORENO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
RAMOS MEJIA LTC B,MORON B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
ALTE. BROWN,ALTUBE,0.0,700.0,0.25,1.0,1,1,0.0,175.0
DEFENSORES DE MORENO,ALTE. BROWN,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ALTUBE,RAMOS MEJIA LTC B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
MORON B,HURACAN DE SAN JUSTO BLANCO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
DEFENSORES DE MORENO,MORON B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ALTUBE,HURACAN DE SAN JUSTO BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
RAMOS MEJIA LTC B,ALTE. BROWN,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE MORENO,RAMOS MEJIA LTC B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
HURACAN DE SAN JUSTO BLANCO,ALTE. BROWN,750.0,250.0,0.25,1.0,1,1,187.5,62.5
MORON B,ALTUBE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ALTUBE,DEFENSORES DE MORENO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ALTE. BROWN,MORON B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HURACAN DE SAN JUSTO BLANCO,RAMOS MEJIA LTC B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
DEFENSORES DE MORENO,HURACAN DE SAN JUSTO BLANCO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
MORON B,RAMOS MEJIA LTC B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ALTE. BROWN,ALTUBE,300.0,700.0,0.25,1.0,1,1,75.0,175.0
RAMOS MEJIA LTC B,ALTUBE,750.0,250.0,0.25,1.0,1,1,187.5,62.5
HURACAN DE SAN JUSTO BLANCO,MORON B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
SITAS,ITALIANO DE JOSE C PAZ,700.0,0.0,0.25,1.0,1,1,175.0,0.0
CENTRO ESPAÑOL,DEFENSORES DE SANTOS LUGARES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ARGENTINO DE CASTELAR CENTRO,Club GEI BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ARGENTINO DE CASTELAR CENTRO,SITAS,250.0,750.0,0.25,1.0,1,1,62.5,187.5
Club GEI BLANCO,CENTRO ESPAÑOL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE SANTOS LUGARES,ITALIANO DE JOSE C PAZ,700.0,0.0,0.25,1.0,1,1,175.0,0.0
SITAS,DEFENSORES DE SANTOS LUGARES,700.0,300.0,0.25,1.0,1,1,175.0,75.0
ITALIANO DE JOSE C PAZ,Club GEI BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CENTRO ESPAÑOL,ARGENTINO DE CASTELAR CENTRO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CENTRO ESPAÑOL,SITAS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ARGENTINO DE CASTELAR CENTRO,ITALIANO DE JOSE C PAZ,700.0,0.0,0.25,1.0,1,1,175.0,0.0
Club GEI BLANCO,DEFENSORES DE SANTOS LUGARES,350.0,650.0,0.25,1.0,1,1,87.5,162.5
SITAS,Club GEI BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE SANTOS LUGARES,ARGENTINO DE CASTELAR CENTRO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ITALIANO DE JOSE C PAZ,CENTRO ESPAÑOL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ITALIANO DE JOSE C PAZ,SITAS,300.0,700.0,0.25,1.0,1,1,75.0,175.0
DEFENSORES DE SANTOS LUGARES,CENTRO ESPAÑOL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
Club GEI BLANCO,ARGENTINO DE CASTELAR CENTRO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
SITAS,ARGENTINO DE CASTELAR CENTRO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ITALIANO DE JOSE C PAZ,DEFENSORES DE SANTOS LUGARES,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CENTRO ESPAÑOL,Club GEI BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE SANTOS LUGARES,SITAS,650.0,350.0,0.25,1.0,1,1,162.5,87.5
Club GEI BLANCO,ITALIANO DE JOSE C PAZ,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ARGENTINO DE CASTELAR CENTRO,CENTRO ESPAÑOL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
SITAS,CENTRO ESPAÑOL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ITALIANO DE JOSE C PAZ,ARGENTINO DE CASTELAR CENTRO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
DEFENSORES DE SANTOS LUGARES,Club GEI BLANCO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
Club GEI BLANCO,SITAS,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ARGENTINO DE CASTELAR CENTRO,DEFENSORES DE SANTOS LUGARES,250.0,750.0,0.25,1.0,1,1,62.5,187.5
CENTRO ESPAÑOL,ITALIANO DE JOSE C PAZ,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANCO NACIÓN,CLUB TRES DE FEBRERO BLANCO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CAZA Y PESCA A,RIVER PLATE,350.0,650.0,0.25,1.25,1,1,109.375,203.125
U.V.V.ADELINA,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
U.V.V.ADELINA,BANCO NACIÓN,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,CAZA Y PESCA A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
RIVER PLATE,CLUB TRES DE FEBRERO BLANCO,700.0,300.0,0.25,1.25,1,1,218.75,93.75
BANCO NACIÓN,RIVER PLATE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CLUB TRES DE FEBRERO BLANCO,SAN FERNANDO AZUL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
CAZA Y PESCA A,U.V.V.ADELINA,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CAZA Y PESCA A,BANCO NACIÓN,650.0,350.0,0.25,1.25,1,1,203.125,109.375
U.V.V.ADELINA,CLUB TRES DE FEBRERO BLANCO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,RIVER PLATE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
BANCO NACIÓN,SAN FERNANDO AZUL,300.0,700.0,0.25,1.25,1,1,93.75,218.75
RIVER PLATE,U.V.V.ADELINA,350.0,650.0,0.25,1.25,1,1,109.375,203.125
CLUB TRES DE FEBRERO BLANCO,CAZA Y PESCA A,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CLUB TRES DE FEBRERO BLANCO,BANCO NACIÓN,750.0,250.0,0.25,1.25,1,1,234.375,78.125
RIVER PLATE,CAZA Y PESCA A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
SAN FERNANDO AZUL,U.V.V.ADELINA,250.0,750.0,0.25,1.25,1,1,78.125,234.375
BANCO NACIÓN,U.V.V.ADELINA,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CAZA Y PESCA A,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CLUB TRES DE FEBRERO BLANCO,RIVER PLATE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
RIVER PLATE,BANCO NACIÓN,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,CLUB TRES DE FEBRERO BLANCO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
U.V.V.ADELINA,CAZA Y PESCA A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
BANCO NACIÓN,CAZA Y PESCA A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
CLUB TRES DE FEBRERO BLANCO,U.V.V.ADELINA,650.0,350.0,0.25,1.25,1,1,203.125,109.375
RIVER PLATE,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,BANCO NACIÓN,350.0,650.0,0.25,1.25,1,1,109.375,203.125
U.V.V.ADELINA,RIVER PLATE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CAZA Y PESCA A,CLUB TRES DE FEBRERO BLANCO,300.0,700.0,0.25,1.25,1,1,93.75,218.75
ATLETICO BOULOGNE,UNION VECINAL DE MUNRO,350.0,650.0,0.25,1.25,1,1,109.375,203.125
OBRAS NORTE,CIUDAD DE BUENOS AIRES A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
NAUTICO HACOAJ BLANCO,DEPORTIVO SAN ANDRES,650.0,350.0,0.25,1.25,1,1,203.125,109.375
NAUTICO HACOAJ BLANCO,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
DEPORTIVO SAN ANDRES,OBRAS NORTE,700.0,300.0,0.25,1.25,1,1,218.75,93.75
CIUDAD DE BUENOS AIRES A,UNION VECINAL DE MUNRO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
ATLETICO BOULOGNE,CIUDAD DE BUENOS AIRES A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
UNION VECINAL DE MUNRO,DEPORTIVO SAN ANDRES,250.0,750.0,0.25,1.25,1,1,78.125,234.375
OBRAS NORTE,NAUTICO HACOAJ BLANCO,650.0,350.0,0.25,1.25,1,1,203.125,109.375
OBRAS NORTE,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
NAUTICO HACOAJ BLANCO,UNION VECINAL DE MUNRO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
DEPORTIVO SAN ANDRES,CIUDAD DE BUENOS AIRES A,750.0,250.0,0.25,1.25,1,1,234.375,78.125
ATLETICO BOULOGNE,DEPORTIVO SAN ANDRES,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CIUDAD DE BUENOS AIRES A,NAUTICO HACOAJ BLANCO,350.0,650.0,0.25,1.25,1,1,109.375,203.125
UNION VECINAL DE MUNRO,OBRAS NORTE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
UNION VECINAL DE MUNRO,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CIUDAD DE BUENOS AIRES A,OBRAS NORTE,300.0,700.0,0.25,1.25,1,1,93.75,218.75
DEPORTIVO SAN ANDRES,NAUTICO HACOAJ BLANCO,350.0,650.0,0.25,1.25,1,1,109.375,203.125
ATLETICO BOULOGNE,NAUTICO HACOAJ BLANCO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
OBRAS NORTE,DEPORTIVO SAN ANDRES,350.0,650.0,0.25,1.25,1,1,109.375,203.125
UNION VECINAL DE MUNRO,CIUDAD DE BUENOS AIRES A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
CIUDAD DE BUENOS AIRES A,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
DEPORTIVO SAN ANDRES,UNION VECINAL DE MUNRO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
NAUTICO HACOAJ BLANCO,OBRAS NORTE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
ATLETICO BOULOGNE,OBRAS NORTE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
UNION VECINAL DE MUNRO,NAUTICO HACOAJ BLANCO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CIUDAD DE BUENOS AIRES A,DEPORTIVO SAN ANDRES,250.0,750.0,0.25,1.25,1,1,78.125,234.375
DEPORTIVO SAN ANDRES,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
NAUTICO HACOAJ BLANCO,CIUDAD DE BUENOS AIRES A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
OBRAS NORTE,UNION VECINAL DE MUNRO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
PLATENSE MARRON,HARRODS GATH Y CHAVES,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LAS HERAS A,BANCO PROVINCIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SOCIAL BECCAR,HEBRAICA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SOCIAL BECCAR,PLATENSE MARRON,350.0,650.0,0.25,1.0,1,1,87.5,162.5
HEBRAICA,LAS HERAS A,250.0,750.0,0.25,1.0,1,1,62.5,187.5
BANCO PROVINCIA,HARRODS GATH Y CHAVES,0.0,700.0,0.25,1.0,1,1,0.0,175.0
PLATENSE MARRON,BANCO PROVINCIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
HARRODS GATH Y CHAVES,HEBRAICA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
LAS HERAS A,SOCIAL BECCAR,750.0,250.0,0.25,1.0,1,1,187.5,62.5
LAS HERAS A,PLATENSE MARRON,650.0,350.0,0.25,1.0,1,1,162.5,87.5
SOCIAL BECCAR,HARRODS GATH Y CHAVES,350.0,650.0,0.25,1.0,1,1,87.5,162.5
HEBRAICA,BANCO PROVINCIA,700.0,0.0,0.25,1.0,1,1,175.0,0.0
PLATENSE MARRON,HEBRAICA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANCO PROVINCIA,SOCIAL BECCAR,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HARRODS GATH Y CHAVES,LAS HERAS A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HARRODS GATH Y CHAVES,PLATENSE MARRON,300.0,700.0,0.25,1.0,1,1,75.0,175.0
BANCO PROVINCIA,LAS HERAS A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
HEBRAICA,SOCIAL BECCAR,250.0,750.0,0.25,1.0,1,1,62.5,187.5
PLATENSE MARRON,SOCIAL BECCAR,350.0,650.0,0.25,1.0,1,1,87.5,162.5
LAS HERAS A,HEBRAICA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
HARRODS GATH Y CHAVES,BANCO PROVINCIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANCO PROVINCIA,PLATENSE MARRON,650.0,350.0,0.25,1.0,1,1,162.5,87.5
HEBRAICA,HARRODS GATH Y CHAVES,250.0,750.0,0.25,1.0,1,1,62.5,187.5
SOCIAL BECCAR,LAS HERAS A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
PLATENSE MARRON,LAS HERAS A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HARRODS GATH Y CHAVES,SOCIAL BECCAR,350.0,650.0,0.25,1.0,1,1,87.5,162.5
BANCO PROVINCIA,HEBRAICA,700.0,300.0,0.25,1.0,1,1,175.0,75.0
HEBRAICA,PLATENSE MARRON,250.0,750.0,0.25,1.0,1,1,62.5,187.5
SOCIAL BECCAR,BANCO PROVINCIA,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LAS HERAS A,HARRODS GATH Y CHAVES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SPORTIVO VILLA BALLESTER,BANADE,250.0,750.0,0.25,1.0,1,1,62.5,187.5
VICTORIA,NAUTICO BUCHARDO A,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CENTRO GALICIA,UNION FLORIDA,250.0,750.0,0.25,1.0,1,1,62.5,187.5
UNION FLORIDA,VICTORIA,650.0,350.0,0.25,1.0,1,1,162.5,87.5
NAUTICO BUCHARDO A,SPORTIVO VILLA BALLESTER,0.0,700.0,0.25,1.0,1,1,0.0,175.0
CENTRO GALICIA,BANADE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
BANADE,NAUTICO BUCHARDO A,700.0,300.0,0.25,1.0,1,1,175.0,75.0
SPORTIVO VILLA BALLESTER,UNION FLORIDA,250.0,750.0,0.25,1.0,1,1,62.5,187.5
VICTORIA,CENTRO GALICIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
VICTORIA,BANADE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CENTRO GALICIA,SPORTIVO VILLA BALLESTER,650.0,350.0,0.25,1.0,1,1,162.5,87.5
UNION FLORIDA,NAUTICO BUCHARDO A,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANADE,UNION FLORIDA,300.0,700.0,0.25,1.0,1,1,75.0,175.0
NAUTICO BUCHARDO A,CENTRO GALICIA,300.0,700.0,0.25,1.0,1,1,75.0,175.0
SPORTIVO VILLA BALLESTER,VICTORIA,250.0,750.0,0.25,1.0,1,1,62.5,187.5
BANADE,SPORTIVO VILLA BALLESTER,700.0,300.0,0.25,1.0,1,1,175.0,75.0
NAUTICO BUCHARDO A,VICTORIA,250.0,750.0,0.25,1.0,1,1,62.5,187.5
UNION FLORIDA,CENTRO GALICIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BANADE,CENTRO GALICIA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
VICTORIA,UNION FLORIDA,300.0,700.0,0.25,1.0,1,1,75.0,175.0
SPORTIVO VILLA BALLESTER,NAUTICO BUCHARDO A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
NAUTICO BUCHARDO A,BANADE,250.0,750.0,0.25,1.0,1,1,62.5,187.5
UNION FLORIDA,SPORTIVO VILLA BALLESTER,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CENTRO GALICIA,VICTORIA,350.0,650.0,0.25,1.0,1,1,87.5,162.5
BANADE,VICTORIA,650.0,350.0,0.25,1.0,1,1,162.5,87.5
SPORTIVO VILLA BALLESTER,CENTRO GALICIA,300.0,700.0,0.25,1.0,1,1,75.0,175.0
NAUTICO BUCHARDO A,UNION FLORIDA,250.0,750.0,0.25,1.0,1,1,62.5,187.5
UNION FLORIDA,BANADE,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CENTRO GALICIA,NAUTICO BUCHARDO A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
VICTORIA,SPORTIVO VILLA BALLESTER,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CIRCULO URQUIZA AZUL,TELEFONOS,650.0,350.0,0.25,1.0,1,1,162.5,87.5
UNIVERSIDAD DE BUENOS AIRES,LAS HERAS B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CLUB 12 DE OCTUBRE,COOPERATIVA TORTUGUITAS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CLUB 12 DE OCTUBRE,CIRCULO URQUIZA AZUL,750.0,250.0,0.25,1.0,1,1,187.5,62.5
COOPERATIVA TORTUGUITAS,UNIVERSIDAD DE BUENOS AIRES,0.0,700.0,0.25,1.0,1,1,0.0,175.0
LAS HERAS B,TELEFONOS,300.0,700.0,0.25,1.0,1,1,75.0,175.0
TELEFONOS,COOPERATIVA TORTUGUITAS,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNIVERSIDAD DE BUENOS AIRES,CLUB 12 DE OCTUBRE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CIRCULO URQUIZA AZUL,LAS HERAS B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
UNIVERSIDAD DE BUENOS AIRES,CIRCULO URQUIZA AZUL,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CLUB 12 DE OCTUBRE,TELEFONOS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
COOPERATIVA TORTUGUITAS,LAS HERAS B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CIRCULO URQUIZA AZUL,COOPERATIVA TORTUGUITAS,650.0,350.0,0.25,1.0,1,1,162.5,87.5
LAS HERAS B,CLUB 12 DE OCTUBRE,250.0,750.0,0.25,1.0,1,1,62.5,187.5
TELEFONOS,UNIVERSIDAD DE BUENOS AIRES,700.0,300.0,0.25,1.0,1,1,175.0,75.0
TELEFONOS,CIRCULO URQUIZA AZUL,750.0,250.0,0.25,1.0,1,1,187.5,62.5
LAS HERAS B,UNIVERSIDAD DE BUENOS AIRES,250.0,750.0,0.25,1.0,1,1,62.5,187.5
COOPERATIVA TORTUGUITAS,CLUB 12 DE OCTUBRE,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CIRCULO URQUIZA AZUL,CLUB 12 DE OCTUBRE,300.0,700.0,0.25,1.0,1,1,75.0,175.0
UNIVERSIDAD DE BUENOS AIRES,COOPERATIVA TORTUGUITAS,700.0,300.0,0.25,1.0,1,1,175.0,75.0
TELEFONOS,LAS HERAS B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LAS HERAS B,CIRCULO URQUIZA AZUL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
COOPERATIVA TORTUGUITAS,TELEFONOS,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CLUB 12 DE OCTUBRE,UNIVERSIDAD DE BUENOS AIRES,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CIRCULO URQUIZA AZUL,UNIVERSIDAD DE BUENOS AIRES,250.0,750.0,0.25,1.0,1,1,62.5,187.5
TELEFONOS,CLUB 12 DE OCTUBRE,300.0,700.0,0.25,1.0,1,1,75.0,175.0
LAS HERAS B,COOPERATIVA TORTUGUITAS,350.0,650.0,0.25,1.0,1,1,87.5,162.5
COOPERATIVA TORTUGUITAS,CIRCULO URQUIZA AZUL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CLUB 12 DE OCTUBRE,LAS HERAS B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
UNIVERSIDAD DE BUENOS AIRES,TELEFONOS,650.0,350.0,0.25,1.0,1,1,162.5,87.5
SAN FERNANDO BLANCO,NAUTICO HACOAJ AZUL,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FLORIDA CLUB,CAZA Y PESCA B,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CLUB TRES DE FEBRERO AZUL,PLATENSE BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CLUB TRES DE FEBRERO AZUL,SAN FERNANDO BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
PLATENSE BLANCO,FLORIDA CLUB,700.0,0.0,0.25,1.0,1,1,175.0,0.0
CAZA Y PESCA B,NAUTICO HACOAJ AZUL,700.0,0.0,0.25,1.0,1,1,175.0,0.0
SAN FERNANDO BLANCO,CAZA Y PESCA B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
NAUTICO HACOAJ AZUL,PLATENSE BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FLORIDA CLUB,CLUB TRES DE FEBRERO AZUL,0.0,700.0,0.25,1.0,1,1,0.0,175.0
FLORIDA CLUB,SAN FERNANDO BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CLUB TRES DE FEBRERO AZUL,NAUTICO HACOAJ AZUL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
PLATENSE BLANCO,CAZA Y PESCA B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
SAN FERNANDO BLANCO,PLATENSE BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CAZA Y PESCA B,CLUB TRES DE FEBRERO AZUL,700.0,300.0,0.25,1.0,1,1,175.0,75.0
NAUTICO HACOAJ AZUL,FLORIDA CLUB,700.0,300.0,0.25,1.0,1,1,175.0,75.0
NAUTICO HACOAJ AZUL,SAN FERNANDO BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CAZA Y PESCA B,FLORIDA CLUB,700.0,300.0,0.25,1.0,1,1,175.0,75.0
PLATENSE BLANCO,CLUB TRES DE FEBRERO AZUL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
SAN FERNANDO BLANCO,CLUB TRES DE FEBRERO AZUL,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FLORIDA CLUB,PLATENSE BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
NAUTICO HACOAJ AZUL,CAZA Y PESCA B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
CAZA Y PESCA B,SAN FERNANDO BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
PLATENSE BLANCO,NAUTICO HACOAJ AZUL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CLUB TRES DE FEBRERO AZUL,FLORIDA CLUB,700.0,0.0,0.25,1.0,1,1,175.0,0.0
SAN FERNANDO BLANCO,FLORIDA CLUB,750.0,250.0,0.25,1.0,1,1,187.5,62.5
NAUTICO HACOAJ AZUL,CLUB TRES DE FEBRERO AZUL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
