local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
HURACAN DE SAN JUSTO BLANCO,Club GEI BLANCO,750.0,250.0,0.25,1.0,1,3,562.5,187.5
CENTRO ESPAÑOL,MORON B,750.0,250.0,0.25,1.0,1,3,562.5,187.5
DEFENSORES DE SANTOS LUGARES,ALTE. BROWN,650.0,350.0,0.25,1.0,1,3,487.5,262.5
PLATENSE MARRON,CENTRO GALICIA,750.0,250.0,0.25,1.25,1,3,703.125,234.375
CAZA Y PESCA A,SPORTIVO VILLA BALLESTER,750.0,250.0,0.25,1.25,1,3,703.125,234.375
DEPORTIVO SAN ANDRES,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,3,703.125,234.375
SAN FERNANDO AZUL,HARRODS GATH Y CHAVES,700.0,300.0,0.25,1.25,1,3,656.25,281.25
NAUTICO HACOAJ BLANCO,SOCIAL BECCAR,750.0,250.0,0.25,1.25,1,3,703.125,234.375
VICTORIA,LAS HERAS A,650.0,350.0,0.25,1.25,1,3,609.375,328.125
UNION FLORIDA,CLUB TRES DE FEBRERO BLANCO,350.0,650.0,0.25,1.25,1,3,328.125,609.375
BANCO NACIÓN,UNION VECINAL DE MUNRO,750.0,250.0,0.25,1.25,1,3,703.125,234.375
RAMOS MEJIA LTC,MIDLAND,750.0,250.0,0.25,1.25,1,3,703.125,234.375
ARGENTINO DE CASTELAR NORTE,DEFENSORES DE HURLINGHAM VERDE,750.0,250.0,0.25,1.25,1,3,703.125,234.375
LEANDRO N ALEM,ESTUDIANTIL PORTEÑO B,750.0,250.0,0.25,1.25,1,3,703.125,234.375
NOLTING,UNLAM A,350.0,650.0,0.25,1.25,1,3,328.125,609.375
INSTITUCION SARMIENTO VERDE,UNITARIOS DE MARCOS PAZ,750.0,250.0,0.25,1.25,1,3,703.125,234.375
Club GEI AZUL,LOS INDIOS DE MORENO BLANCO,350.0,650.0,0.25,1.25,1,3,328.125,609.375
OBRAS CENTRO,U.V.V.ADELINA,750.0,250.0,0.25,2.0,1,3,1125.0,375.0
BOCA JUNIORS AZUL,INDEPENDIENTE,750.0,250.0,0.25,2.0,1,3,1125.0,375.0
LANUS A,MORON A,750.0,250.0,0.25,2.0,1,3,1125.0,375.0
PEDRO ECHAGUE AZUL,HURACAN DE SAN JUSTO ROJO,750.0,250.0,0.25,2.0,1,3,1125.0,375.0
FERROCARRIL OESTE A,G.E DE LOMAS DE ZAMORA A,650.0,350.0,0.25,2.0,1,3,975.0,525.0
RIVER PLATE,OBRAS NORTE,350.0,650.0,0.25,2.0,1,3,525.0,975.0
A.F.A.L.P. A,CIUDAD DE BUENOS AIRES A,650.0,350.0,0.25,2.0,1,3,975.0,525.0
LOS ANDES,TALLERES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
TALLERES,DEFENSORES DE MORENO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
DEFENSORES DE MORENO,LOS ANDES,300.0,700.0,0.25,1.0,1,1,75.0,175.0
TALLERES,LOS ANDES,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE MORENO,TALLERES,350.0,650.0,0.25,1.0,1,1,87.5,162.5
LOS ANDES,DEFENSORES DE MORENO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SIERO BIBLIOTECA,MUNICIPALIDAD DE AVELLANEDA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BURZACO FC B,SIERO BIBLIOTECA,350.0,650.0,0.25,1.0,1,1,87.5,162.5
MUNICIPALIDAD DE AVELLANEDA,BURZACO FC B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
MUNICIPALIDAD DE AVELLANEDA,SIERO BIBLIOTECA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SIERO BIBLIOTECA,BURZACO FC B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
BURZACO FC B,MUNICIPALIDAD DE AVELLANEDA,750.0,250.0,0.25,1.0,1,1,187.5,62.5
VILLEGAS BASQUET,COOPERARIOS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
INSTITUTO GLEW,OLIMPO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE BANFIELD,BOCA JUNIORS AMARILLO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
DEFENSORES DE BANFIELD,VILLEGAS BASQUET,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BOCA JUNIORS AMARILLO,INSTITUTO GLEW,700.0,300.0,0.25,1.0,1,1,175.0,75.0
OLIMPO,COOPERARIOS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
VILLEGAS BASQUET,OLIMPO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
COOPERARIOS,BOCA JUNIORS AMARILLO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
INSTITUTO GLEW,DEFENSORES DE BANFIELD,300.0,700.0,0.25,1.0,1,1,75.0,175.0
INSTITUTO GLEW,VILLEGAS BASQUET,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE BANFIELD,COOPERARIOS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
BOCA JUNIORS AMARILLO,OLIMPO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
VILLEGAS BASQUET,BOCA JUNIORS AMARILLO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
OLIMPO,DEFENSORES DE BANFIELD,350.0,650.0,0.25,1.0,1,1,87.5,162.5
COOPERARIOS,INSTITUTO GLEW,250.0,750.0,0.25,1.0,1,1,62.5,187.5
VILLA IDEAL,G.E DE LOMAS DE ZAMORA B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
MORENO DE QUILMES,COLON FC,700.0,0.0,0.25,1.0,1,1,175.0,0.0
G.E DE LOMAS DE ZAMORA B,MORENO DE QUILMES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
COLON FC,VILLA IDEAL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
COLON FC,G.E DE LOMAS DE ZAMORA B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
VILLA IDEAL,MORENO DE QUILMES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
G.E DE LOMAS DE ZAMORA B,VILLA IDEAL,750.0,250.0,0.25,1.0,1,1,187.5,62.5
COLON FC,MORENO DE QUILMES,650.0,350.0,0.25,1.0,1,1,162.5,87.5
