anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2022.0,1ra Fase,2,CENTRO,A,6,"ARMENIA, ARQUITECTURA NEGRO, FERROCARRIL OESTE B, GEBA, ITALIANO, VILLA MITRE"
2022.0,2da Fase,2,CENTRO,A,8,"ARGENTINOS JUNIORS, COLEGIALES NEGRO, COPELLO, GEBA, INSTITUCION SARMIENTO BLANCO, MACABI, PINOCHO BLANCO, VELEZ SARSFIELD AZUL"
2022.0,1ra Fase,2,CENTRO,B,6,"ALL BOYS BLANCO, COMUNICACIONES, GEVP CELESTE, HARRODS GATH Y CHAVES, MACABI, PLATENSE MARRON"
2022.0,2da Fase,2,CENTRO,B,8,"17 DE AGOSTO, ARMENIA, CIRCULO URQUIZA, CIUDAD DE BUENOS AIRES B, EL TALAR, FERROCARRIL OESTE C, HARRODS GATH Y CHAVES, ITALIANO B"
2022.0,1ra Fase,3,CENTRO,A,6,"17 DE AGOSTO, COPELLO, JOSE HERNANDEZ B, PEDRO ECHAGUE AMARILLO, PINOCHO BLANCO, YUPANQUI"
2022.0,2da Fase,3,CENTRO,A,5,"ESTRELLA DE BOEDO, JOSE HERNANDEZ B, PEDRO ECHAGUE AMARILLO, RACING ANEXO, YUPANQUI"
2022.0,1ra Fase,3,CENTRO,B,6,"CIUDAD DE BUENOS AIRES B, COLEGIALES NEGRO, DEPORTIVO CROVARA B, FERROCARRIL OESTE C, IMPERIO NEGRO, NUEVA CHICAGO"
2022.0,2da Fase,3,CENTRO,B,6,"DEPORTIVO CROVARA B, IMPERIO NEGRO, NUEVA CHICAGO, PINOCHO VERDE, SAN LORENZO ROJO, UNIVERSIDAD DE BUENOS AIRES"
2022.0,1ra Fase,3,CENTRO,C,6,"EL TALAR, INSTITUCION SARMIENTO BLANCO, ITALIANO B, PINOCHO VERDE, SAN LORENZO ROJO, UNIVERSIDAD DE BUENOS AIRES"
2022.0,1ra Fase,3,CENTRO,D,5,"ARGENTINOS JUNIORS, CIRCULO URQUIZA, ESTRELLA DE BOEDO, RACING ANEXO, VELEZ SARSFIELD AZUL"
2022.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,A,8,"C.A.S.A PADUA A, FERROCARRIL OESTE A, G.E DE LOMAS DE ZAMORA A, LOS INDIOS DE MORENO NEGRO, OBRAS NORTE, SAN FERNANDO AZUL, VELEZ SARSFIELD BLANCO, WILDE SPORTING"
